,ACONDICIONAMIENTOVEHICULOS,ACONDICIONAMIENTOVIAJEROS,BARRIO,CALIFICADORPORTAL,CARRETERA,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,CODIGOENTIDAD,CODIGOESTACION,CODIGOINTERCAMBIADOR,CODIGOMUNICIPIO,CODIGONUCLEO,CODIGOPOSTAL,CODIGOPROVINCIA,CODIGOVIA,CORONA123,CORONATARIFARIA,CORREDOR,DENOMINACION,DENOMINACIONABREVIADA,DENOMINACION_SAE,DISTRITO,ENCUESTAAFOROS,ENCUESTADOMICILIARIA,FECHAACTUAL,FECHAALTA,FECHAFIN,FECHAINICIO,GRADOACCESIBILIDAD,HOJA25000,IDESTACION,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LATITUD,LONGITUD,MODO,MODOINTERCAMBIADOR,NOMBREVIA,NUMEROPORTAL,OBJECTID,OBSERVACIONES,PARTICULA,SECCIONCENSAL,SECTOR,SECTORURBANO,SITUACION,SITUACIONCALLE,TESELA,TIPO,TIPONUMERO,TIPOVIA,X,Y,ZONATRANSPORTE
28,3,2,015,,,50,1011,07901,197,64,079,0790101,28015,28,05172,1,A,5,PLAZA DE ESPAÑA,,,01,,7,20150709,19990405,,19930701,T,559-1,4_197,,,40.4240868846098,-3.7096987115977367,4,92.0,Reyes,10,29,0308,de los,111,,0790101318,I,,T0798396,U,N,Calle,439906,4475278,079-01-007
29,3,2,076,,,145,0714,07901,145,238,079,0790101,28003,28,01263,1,A,6,ISLAS FILIPINAS,,,07,,126,20150709,19990430,,19930701,T,559-1,4_145,,,40.43906820663266,-3.7137286447993536,4,93.0,Cea Bermúdez,54,30,0714,de,127,,0790101278,I,,T0796439,U,N,Calle,439577,4476943,079-07-126
30,3,2,034,,,173,0913,07901,173,236,079,0790101,28009,28,02844,1,A,3,IBIZA,,,03,,48,20150709,19990405,,19930701,N,559-2,4_173,,,40.41839121058978,-3.6785751055264586,4,93.0,Ibiza,1,31,0913,de,059,,0790101472,I,,T0799034,U,N,Calle,442541,4474625,079-03-048
31,3,2,062,,,5,0105,07901,5,136,079,0790101,28020,28,00886,1,A,6,ALVARADO,,,06,,118,20150709,19990405,,19930701,N,559-1,4_5,,,40.450331975994324,-3.7033142092757845,4,93.0,Bravo Murillo,138,32,0105,de,035,,0790101269,I,,T0795172,U,N,Calle,440471,4478187,079-06-118
32,3,2,074,,,58,0405,07901,58,67,079,0790101,28046,28,01396,1,A,5,COLON,,,07,,140,20150709,19990405,,19930701,N,559-1,4_58,,,40.42541918213737,-3.6910073925714295,4,92.0,Colón,2,33,0405,de,075,1,0790101295,I,,T0798170,U,N,Plaza,441493,4475413,079-07-140
33,3,2,013,,,34,0207,07901,34,345,079,0790101,28014,28,00132,1,A,5,SEVILLA,,,01,,15,20150709,19990405,,19930701,N,559-1,4_34,,,40.41805074812411,-3.699251138040337,4,92.0,Alcalá,23,34,0207,de,072,,0790101331,I,,T0798991,U,N,Calle,440787,4474601,079-01-015
34,3,2,014,,,33,0206,07901,33,60,079,0790101,28014,28,00132,1,A,5,BANCO DE ESPAÑA,,,01,,10,20150709,19990405,,19930701,N,559-1,4_33,,,40.4192197861148,-3.6949651055813844,4,92.0,Alcalá,49,35,0206,de,073,1,0790101327,I,,T0798937,U,N,Calle,441152,4474728,079-01-010
35,3,2,066,,,4,0104,07901,4,72,079,0790101,28020,28,00886,1,A,6,ESTRECHO,,,06,,111,20150709,19990405,,19930701,N,559-1,4_4,,,40.45428802582823,-3.7030229599498505,4,93.0,Bravo Murillo,191,36,0104,de,119,,0790101259,I,,T0794589,U,N,Calle,440499,4478625,079-06-111
36,3,2,,,,300,0925,12307,300,317,123,1230701,28529,28,C0024,3,B2,3,RIVAS FUTURA,,,01,,916,20150709,20080717,,20080709,T,559-4,4_300,,,40.34134215405359,-3.5247890122718806,4,93.0,Concepción Arenal,1,37,, ,001,,1230701010,I,,T123416,U,N,Calle,455537,4465984,123-004
37,3,2,117,,,108,0605,07901,108,36,079,0790101,28025,28,02184,2,A,4,PLAZA ELIPTICA,,,11,,297,20150709,19990405,,19930701,T,559-3,4_108,,,40.38460005540756,-3.7183705578119546,4,90.0,Fernández Ladreda,2,38,0605,de,183,3,0790101659,I,,T07913162,U,N,Plaza,439135,4470901,079-11-297
38,3,2,212,,,159,0806,07901,159,34,079,0790101,28042,28,10444,2,A,2,AEROPUERTO T1 T2 T3,,,21,,585,20150709,20020215,,19980101,T,559-2,4_159,,,40.4686442368363,-3.569538255943205,4,90.0,Hispanidad,SN,39,Aparcamientos terminal 3,de la,015,4,0790101240,I,,T079841,U,N,Avda,451828,4480138,079-21-585
39,3,2,052,A,,64,0411,07901,64,4,079,0790101,28002,28,00312,1,A,1,AVENIDA DE AMERICA,,,05,,103,20150709,19990405,,19930701,N,559-2,4_64,,,40.43803257738159,-3.6766395553262643,4,90.0,América,9,40,0411,de,031,1,0790101362,I,,T0796594,U,N,Avda,442722,4476804,079-05-103
40,3,2,062,,,6,0619,07901,121,40,079,0790101,28020,28,01600,1,A,6,CUATRO CAMINOS,,,06,,118,20150709,19990405,,19930701,T,559-1,4_121,,,40.44697459690457,-3.703868699286015,4,91.0,Cuatro Caminos,9,41,0106,de,024,1,0790101269,I,,T0795641,U,N,Gta,440421,4477814,079-06-118
41,3,2,042,,,29,0614,07901,116,41,079,0790101,28028,28,05244,1,A,1,MANUEL BECERRA,,,04,,76,20150709,19990405,,19930701,N,559-2,4_116,,,40.42790447983754,-3.6692051807116384,4,91.0,Manuel Becerra,1,42,0202,de,034,1,0790101387,I,,T0797933,U,N,Plaza,443344,4475675,079-04-076
42,3,2,132,,,19,0119,07901,19,51,079,0790101,28053,28,00130,2,A,3,PUENTE DE VALLECAS,,,13,,351,20150709,19990405,,19930701,N,559-4,4_19,,,40.39819215100294,-3.669058999478586,4,92.0,Albufera,1,43,0119,de la,042,3,0790101001,I,,T07911322,U,N,Avda,443332,4472377,079-13-351
43,3,2,,,,291,0758,13002,291,239,130,1300201,28830,28,00235,3,B1,2,JARAMA,,,01,,929,20150709,20070507,,20070101,T,559-2,4_291,,,40.42295480433805,-3.5254937648988705,4,93.0,Guernica,1,44,JARAMA Linea 7, ,006,,1300201008,I,,T130227,U,N,Plaza,455531,4475043,130-008
44,3,2,076,,,41,0713,07901,144,163,079,0790101,28003,28,01263,1,A,6,CANAL,,,07,,128,20150709,19990405,,19930701,T,559-1,4_144,,,40.43870250794506,-3.704888988656737,4,93.0,Cea Bermúdez,1,45,0214,de,121,,0790101281,I,,T0796509,U,N,Calle,440327,4476897,079-07-128
45,3,2,086,,,277,1054,07901,277,321,079,0790101,28050,28,C0619,2,A,7,RONDA DE LA COMUNICACION,,,08,,153,20150709,20070424,,20070101,T,534-4,4_277,,,40.51553464717745,-3.6627651035032445,4,93.0,Comunicación,22,46,RONDA DE LA COMUNICACION Linea 10,de la,128,,0790101996,I,,T079273,U,N,Ronda,443963,4485398,079-08-153
46,3,2,073,,,57,1009,07901,195,133,079,0790101,28010,28,03672,1,A,6,ALONSO MARTINEZ,,,07,,139,20150709,19990405,,19930701,N,559-1,4_195,,,40.42852602883,-3.6964318860038867,4,92.0,Manuel González Longoria,14,47,0404,de,072,,0790101296,I,,T0797834,U,N,Calle,441035,4475762,079-07-139
47,3,2,026,,,45,0303,07901,45,287,079,0790101,28045,28,09110,1,A,4,PALOS DE LA FRONTERA,,,02,,30,20150709,19990405,,19930701,T,559-3,4_45,,,40.40307228397831,-3.6942326840798296,4,93.0,Palos de la Frontera,33,48,0303,de,074,,0790101613,I,,T07910691,U,N,Calle,441200,4472935,079-02-030
48,3,2,153,,,78,0706,07901,137,305,079,0790101,28027,28,00132,2,A,1,PUEBLO NUEVO,,,15,,414,20150709,19990405,,19930701,N,559-2,4_137,,,40.43565851549913,-3.6428229372521685,4,93.0,Alcalá,372,49,0505,de,100,,0790101414,I,,T0796862,U,N,Calle,445588,4476519,079-15-414
49,3,2,076,,,122,0620,07901,122,225,079,0790101,28003,28,02695,1,A,6,GUZMAN EL BUENO,,,07,,121,20150709,19990405,,19930701,T,559-1,4_122,,,40.44636607914371,-3.7122940370605675,4,93.0,Guzmán el Bueno,118,50,0620,de,135,,0790101275,I,,T0795687,U,N,Calle,439706,4477752,079-07-121
50,3,2,031,,,18,0118,07901,18,53,079,0790101,28007,28,01357,1,A,3,PACIFICO,,,03,,63,20150709,19990405,,19930701,N,559-4,4_18,,,40.40126178904823,-3.67513655621334,4,92.0,Ciudad de Barcelona,79,51,0118,de la,095,1,0790101715,I,,T07910963,U,N,Avda,442819,4472721,079-03-063
51,3,2,016,,,11,0514,07901,87,222,079,0790101,28013,28,03097,1,A,5,GRAN VIA,,,01,,14,20150709,19990405,,19930701,N,559-1,4_87,,,40.419986617735724,-3.701803930135661,4,93.0,Gran Vía,23,52,0111, ,117,,0790101328,I,,T0798905,U,N,Calle,440572,4474817,079-01-014
52,3,2,134,,,25,0125,07901,25,49,079,0790101,28031,28,09429,2,A,3,SIERRA DE GUADALUPE,,,13,,350,20150709,19990430,,19930701,T,559-4,4_25,,,40.3821642503006,-3.6247174701487794,4,91.0,Democracia,1,53,0125,de la,128,3,0790101776,I,,T07913672,U,N,Avda,447082,4470570,079-13-350
53,3,2,086,,,187,1001,07901,187,440,079,0790101,28034,28,02384,2,A,7,FUENCARRAL,,,08,,162,20150709,19990405,,19980101,N,559-1,4_187,,,40.495085162407655,-3.692831231006568,4,93.0,Fuente Chica,21,54,Frente al nº 50,de la,122,,0790101062,I,,T079856,U,N,Calle,441399,4483147,079-08-162
54,3,2,063,,,2,0102,07901,2,360,079,0790101,28020,28,00886,1,A,6,VALDEACEDERAS,,,06,,112,20150709,19990405,,19930701,N,559-1,4_2,,,40.46442417859868,-3.6950620375087544,4,93.0,Bravo Murillo,332,55,0102,de,069,,0790101126,I,,T0793479,U,N,Calle,441183,4479745,079-06-112
55,3,2,117,,,208,1103,07901,208,288,079,0790101,28025,28,00017,2,A,4,PAN BENDITO,,,11,,302,20150709,19990405,,19930701,T,559-3,4_208,,,40.37586863665673,-3.7341688565304656,4,93.0,Abrantes,289,56,1103,de,158,,0790101654,I,,T07914219,U,N,Avda,437786,4469942,079-11-302
56,3,2,,,,210,1202,00701,210,293,007,0070101,28924,28,02522,3,B1,5,PARQUE LISBOA,,,02,,653,20150709,20030120,,20030101,T,559-3,4_210,,,40.34968728152219,-3.8211957325521553,4,93.0,Porto Lagos,7,57,1202,de,001,,0070101013,I,,T007279,U,N,Calle,430371,4467101,007-010
57,3,2,101,,,104,0601,07901,104,83,079,0790101,28047,28,01597,1,A,5,LAGUNA,,,10,,264,20150709,19990405,,19930701,N,559-3,4_104,,,40.39922962471062,-3.744288718056632,4,92.0,Cuart de Poblet,1,58,0601,de,006,3,0790101911,I,,T07911131,U,N,Calle,436948,4472543,079-10-264
58,3,2,,,,222,1215,05801,222,290,058,0580102,28945,28,A0506,3,B2,4,PARQUE DE LOS ESTADOS,,,02,,694,20150709,20030120,,20030101,T,582-1,4_222,,,40.28683580053262,-3.786974043457501,4,93.0,Venezuela,2,59,1215,de,004,,0580102013,I,,T058471,U,N,Calle,433215,4460099,058-019
59,3,2,,,,227,1221,06503,227,241,065,0650301,28903,28,A0277,3,B1,4,JUAN DE LA CIERVA,,,04,,716,20150709,20030120,,20030101,T,582-1,4_227,,,40.31180236485632,-3.722240122704442,4,93.0,España,20,60,1221,de,021,,0650301049,I,,T065574,U,N,Avda,438740,4462823,065-012
60,3,2,,,,231,1225,07402,231,204,074,0740201,28916,28,A0370,3,B1,4,EL CARRASCAL,,,05,,763,20150709,20030120,,20030101,T,559-3,4_231,,,40.33663824377751,-3.7401848829148365,4,93.0,Rey Juan Carlos I,85,61,1225, ,015,,0740201003,I,,T074574,U,N,Avda,437239,4465592,074-024
61,3,2,,,,233,1227,07402,233,168,074,0740201,28914,28,A0180,3,B1,4,CASA DEL RELOJ,,,02,,767,20150709,20030120,,20030101,T,582-1,4_233,,,40.32660272138423,-3.75942499130863,4,93.0,Gibraltar,11,62,1227, ,008,,0740201027,I,,T0741116,U,N,Avda,435595,4464492,074-028
62,3,2,211,,,253,0551,07901,253,202,079,0790101,28042,28,10942,2,A,2,EL CAPRICHO,,,21,,582,20150709,20061123,,20061101,T,559-2,4_253,,,40.453468332704944,-3.5940116576957872,4,93.0,Pinos de Osuna,15,63,EL CAPRICHO Linea 5,de,001,,0790101497,I,,T0794584,U,N,Calle,449742,4478467,079-21-582
63,3,2,181,,,26,0126,07901,26,370,079,0790101,28031,28,00962,2,A,3,VILLA DE VALLECAS,,,18,,500,20150709,19990430,,19930701,T,559-4,4_26,,,40.379598611419055,-3.621296484882349,4,93.0,Federico García Lorca,2,64,0126,de,014,,0790101781,I,,T07913926,U,N,Paseo,447370,4470283,079-18-500
64,3,2,191,,,179,0919,07901,179,361,079,0790101,28032,28,45424,2,A,3,VALDEBERNARDO,,,19,,522,20150709,19990405,,19930701,T,559-4,4_179,,,40.40004712961799,-3.6215591598085286,4,93.0,Indalecio Prieto,26,65,0919,de,035,,0790101900,I,,T07911145,U,N,Bulv,447364,4472553,079-19-522
65,3,2,054,,,156,0907,07901,167,77,079,0790101,28016,28,02511,1,A,1,COLOMBIA,,,05,,94,20150709,19990405,,19930701,T,559-2,4_167,,,40.45748975041236,-3.6769390594028932,4,92.0,Príncipe de Vergara,269,66,0802,del,059,,0790101336,I,,T0794249,U,N,Calle,442713,4478964,079-05-094
66,3,2,205,,,132,0701,07901,132,255,079,0790101,28022,28,45474,2,A,2,LAS MUSAS,,,20,,566,20150709,19990405,,19930701,N,559-2,4_132,,,40.432988127939815,-3.607879514276323,4,93.0,Niza,61,67,0701,de,066,,0790101493,I,,T0797274,U,N,Avda,448550,4476201,079-20-566
67,3,2,045,,,63,0615,07901,117,66,079,0790101,28028,28,02340,1,A,1,DIEGO DE LEON,,,04,,72,20150709,19990405,,19930701,N,559-2,4_117,,,40.432947682446056,-3.6729385667724195,4,92.0,Francisco Silvela,47,68,0410,de,103,1,0790101384,I,,T0797186,U,N,Calle,443032,4476237,079-04-072
68,3,2,045,,,83,0911,07901,171,283,079,0790101,28006,28,03880,1,A,1,NUÑEZ DE BALBOA,,,04,,72,20150709,19990405,,19930701,N,559-2,4_171,,,40.43012982126571,-3.6793637194556172,4,93.0,Marqués de Salamanca,9,69,0510,del,111,,0790101A01,I,,T0797562,U,N,Plaza,442484,4475928,079-04-072
69,3,2,044,,,28,0508,07901,81,367,079,0790101,28028,28,00132,1,A,1,VENTAS,,,04,,73,20150709,19990405,,19930701,N,559-2,4_81,,,40.430884803194914,-3.6636058417273496,4,93.0,Alcalá,204,70,0201,de,071,,0790101391,I,,T0797177,U,N,Calle,443822,4476002,079-04-073
70,3,2,056,,,1,1004,07901,190,21,079,0790101,28046,28,01213,1,A,1,PLAZA DE CASTILLA,,,05,,85,20150709,19990405,,19980101,N,559-1,4_190,,,40.46689653414191,-3.6890861043280827,4,90.0,Castellana,216,71,0101,de la,088,1,0790101119,I,,T0793028,U,N,Paseo,441692,4480016,079-05-085
71,3,2,191,,,182,0922,07901,182,39,079,0790101,28032,28,08410,2,A,3,PUERTA DE ARGANDA,,,19,,531,20150709,19990405,,19930701,T,559-4,4_182,,,40.40131578216117,-3.5959753029479633,4,91.0,San Cipriano,85,72,0922,de,047,4,0790101895,I,,T07910783,U,N,Calle,449536,4472679,079-19-531
72,3,2,215,,,158,0805,07901,158,162,079,0790101,28042,28,11886,2,A,2,CAMPO DE LAS NACIONES,,,21,,578,20150709,19990405,,19980101,T,559-2,4_158,,,40.46389315131333,-3.6162046822415186,4,92.0,Partenón,5,73,0805,del,029,,0790101902,I,,T0792560,U,N,Avda,447868,4479637,079-21-578
73,3,2,111,,,99,0526,07901,99,213,079,0790101,28047,28,99999,2,A,4,EUGENIA DE MONTIJO,,,11,,298,20150709,20020304,,19980101,T,,4_99,,,40.38438579717573,-3.7512111847828216,4,93.0,Ocaña,86,74,0526,de,001,,0790101A01,S,,T07911026,U,N,Calle,436347,4470900,079-11-298
74,3,1,,,,305,1107,07401,305,245,074,0740101,28917,28,A0445,3,B1,4,LA FORTUNA,,,06,,740,20150709,20101013,,20101005,T,559-3,4_305,,,40.357953128926525,-3.7778258498960042,4,93.0,San José,40,75,, ,003,,0740101001,I,,T07421,U,N,Calle,434062,4467986,074-001
75,3,2,204,,,323,0253,07901,323,99,079,0790101,28037,28,99999,1,A,1,ALSACIA,,,20,,567,20150709,20110318,,20110316,T,559-2,4_323,,,40.41829269464442,-3.6235060015486664,4,91.0,Alsacia,S/N,76,,de,043,4,0790101486,I,,T0798903,U,N,Plaza,447213,4474579,079-20-567
76,3,2,152,,,322,0252,07901,322,243,079,0790101,28017,28,00587,1,A,1,LA ALMUDENA,,,15,,424,20150709,20110318,,20110316,T,559-2,4_322,,,40.42361329068056,-3.6391423303625725,4,93.0,Arriaga,75,77,,de,065,,0790101449,I,,T0798475,U,N,Calle,445891,4475180,079-15-424
77,3,4,087,,,345,0952,07901,345,,079,,28034,28,45945,1,A,7,PACO DE LUCIA,,,08,,160,20150709,20150325,,20150325,T,559-1,4_345,,,40.499654912051675,-3.709081480557363,4,,Monasterio de Las Huelgas,5,78,,de,135,,,I,,T079679,U,N,Calle,440026,4483665,079-08-160
